(-43.03562, -22.338253)
(-43.03563, -22.338255)
(-43.03562, -22.338253)
(-43.03562, -22.338226)
(-43.03562, -22.338217)
(-43.035614, -22.338171)
(-43.03561, -22.338142)
(-43.035614, -22.338093)
(-43.03561, -22.338076)
(-43.03561, -22.338034)
(-43.035614, -22.338001)
(-43.035614, -22.33796)
(-43.03563, -22.33793)
(-43.035656, -22.337868)
(-43.035664, -22.33781)
(-43.035667, -22.33778)
(-43.03569, -22.337736)
(-43.035683, -22.337727)
(-43.0357, -22.337692)
(-43.035706, -22.33766)
(-43.035725, -22.3376)
(-43.035736, -22.337572)
(-43.03574, -22.33755)
(-43.035744, -22.337517)
(-43.035744, -22.337477)
(-43.03574, -22.337442)
(-43.03573, -22.337404)
(-43.035717, -22.337368)
(-43.035694, -22.337336)
(-43.03568, -22.337305)
(-43.035664, -22.337276)
(-43.03564, -22.337227)
(-43.035625, -22.337198)
(-43.035583, -22.337166)
(-43.03557, -22.337154)
(-43.035545, -22.337122)
(-43.035515, -22.33711)
(-43.035473, -22.337097)
(-43.035408, -22.337093)
(-43.0354, -22.33709)
(-43.03535, -22.337097)
(-43.035015, -22.336998)
(-43.03535, -22.337097)
(-43.0354, -22.33709)
(-43.035408, -22.337093)
(-43.035473, -22.337097)
(-43.035515, -22.33711)
(-43.035545, -22.337122)
(-43.03557, -22.337154)
(-43.035583, -22.337166)
(-43.035625, -22.337198)
(-43.03564, -22.337227)
(-43.035664, -22.337276)
(-43.03568, -22.337305)
(-43.035694, -22.337336)
(-43.035717, -22.337368)
(-43.03573, -22.337404)
(-43.03574, -22.337442)
(-43.035744, -22.337477)
(-43.035744, -22.337517)
(-43.03574, -22.33755)
(-43.035736, -22.337572)
(-43.035725, -22.3376)
(-43.035706, -22.33766)
(-43.0357, -22.337692)
(-43.035683, -22.337727)
(-43.03569, -22.337736)
(-43.035667, -22.33778)
(-43.035664, -22.33781)
(-43.035656, -22.337868)
(-43.03563, -22.33793)
(-43.035614, -22.33796)
(-43.035614, -22.338001)
(-43.03561, -22.338034)
(-43.03561, -22.338076)
(-43.035614, -22.338093)
(-43.03561, -22.338142)
(-43.035614, -22.338171)
(-43.03562, -22.338217)
(-43.03562, -22.338226)
(-43.035618, -22.338236)
(-43.03562, -22.338245)
(-43.03542, -22.338089)
(-43.035275, -22.337997)
